Age,Year,Smokers
15–17,2011-12,37.20
15–17,2014-15,23.40
15–17,2017-18,15.70
15–17,2020-21,12.40
15–17,2021-22,15.10
18–24,2011-12,362.20
18–24,2014-15,308.50
18–24,2017-18,311.10
18–24,2020-21,179.90
18–24,2021-22,149.30
25–34,2011-12,623.60
25–34,2014-15,585.90
25–34,2017-18,529.80
25–34,2020-21,392.80
25–34,2021-22,397.10
35–44,2011-12,592.40
35–44,2014-15,525.70
35–44,2017-18,515.30
35–44,2020-21,401.20
35–44,2021-22,385.80
45–54,2011-12,608.60
45–54,2014-15,539.90
45–54,2017-18,530.90
45–54,2020-21,432.70
45–54,2021-22,380.80
55–64,2011-12,363.50
55–64,2014-15,389.30
55–64,2017-18,426.70
55–64,2020-21,402.70
55–64,2021-22,402.30
65+,2011-12,199.30
65+,2014-15,222.20
65+,2017-18,251.70
65+,2020-21,264.90
65+,2021-22,245.30
